Model,CV_R2_mean,CV_R2_std,Test_R2,Test_RMSE,Test_MAE
Gradient Boosting,0.2118909892338401,0.04364641638989681,0.2245097147777424,3.754893238755528,2.9865207911033984
Random Forest,0.21969211975899253,0.036315430135162315,0.1957638563149947,3.8238531562777713,3.1847507967182365
Ridge,0.028041517268818015,0.053203551780721954,-0.003809032332416473,4.272036574227625,4.03132571084996
Linear Regression,0.024169361809196075,0.060938567505429725,-0.004188315991835667,4.2728435806328,4.031927919322098
