,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,count_nonnull,missing,missing_pct
Daya (watt),1923.0,1060.0743161726468,1068.2391122118177,1.16,324.468,359.8,593.35,840.08,1374.8,2035.0499999999997,2502.019999999997,20400.0,1923,0,0.0
Kapasitas Pendinginan (BTU/h),1923.0,11116.578309932398,6648.727315414376,4.7,1911.2223999999999,4512.476,6842.7,9235.0,14688.925,22173.76099999999,24501.803999999993,131617.8,1923,0,0.0
Nilai Efisiensi (EER/CSPF),1923.0,8.782735309412375,4.266338504051354,3.1,3.1722,3.38,4.015,10.3,11.9,15.056999999999997,17.8224,21.48,1923,0,0.0
Rating Bintang,1923.0,3.4123764950598026,1.078111000575402,1.0,1.0,1.0,2.0,4.0,4.0,5.0,5.0,5.0,1923,0,0.0
Konsumsi Energi Tahunan (kWh),1923.0,5307.644123764951,114922.83521111983,3.59,246.4426,399.70700000000005,1165.52,2271.0,3358.73,5875.242999999998,6960.334599999998,5040796.0,1923,0,0.0
Biaya Listrik Tahunan (Rp),1923.0,3906898.4711284456,4610814.02017132,0.0,0.0,453634.209,1683856.4849999999,3285123.52,4823164.455,8525974.485,10137491.0784,99999999.99,1923,0,0.0
