,Daya (watt),Kapasitas Pendinginan (BTU/h),Nilai Efisiensi (EER/CSPF),Rating Bintang (1-5),Konsumsi Energi Tahunan (kWh),Biaya Listrik Tahunan (Rp)
Daya (watt),1.0,0.9280382207236452,-0.07114302925365668,0.0023015438383576638,0.7678413566521045,0.7510561163215085
Kapasitas Pendinginan (BTU/h),0.9280382207236452,1.0,-0.0272918384274395,0.07179407785883225,0.7043134538462827,0.6864911800519138
Nilai Efisiensi (EER/CSPF),-0.07114302925365668,-0.0272918384274395,1.0,0.6169682063937694,0.21344035864608055,0.23110840267558352
Rating Bintang (1-5),0.0023015438383576638,0.07179407785883225,0.6169682063937694,1.0,0.15862713475109103,0.15475594448756363
Konsumsi Energi Tahunan (kWh),0.7678413566521045,0.7043134538462827,0.21344035864608055,0.15862713475109103,1.0,0.9734621686417448
Biaya Listrik Tahunan (Rp),0.7510561163215085,0.6864911800519138,0.23110840267558352,0.15475594448756363,0.9734621686417448,1.0
