,precision,recall,f1-score,support
1,0.75,0.14285714285714285,0.24,21.0
2,0.5760869565217391,0.6794871794871795,0.6235294117647059,78.0
3,0.6190476190476191,0.35135135135135137,0.4482758620689655,37.0
4,0.7091633466135459,0.8356807511737089,0.7672413793103449,213.0
5,0.5714285714285714,0.24242424242424243,0.3404255319148936,33.0
accuracy,0.6675392670157068,0.6675392670157068,0.6675392670157068,0.6675392670157068
macro avg,0.645145298722295,0.450360133458725,0.483894437011782,382.0
weighted avg,0.6636085869091248,0.6675392670157068,0.6411464852368947,382.0
